title,bias_score,reliability_score,article_url,adfontes_url,date,outlet,outlet_story_count
Pregnant health care workers could get Pfizer vaccine after FDA emergency authorization,-0.67,44.67,https://19thnews.org/2020/12/pregnant-health-care-workers-could-get-pfizer-vaccine-after-fda-panel-votes-for-emergency-authorization/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-12-10,19thnews.org,25
Inside the Lincoln Project’s ‘toxic’ workplace,-0.33,57.0,https://19thnews.org/2021/02/lincoln-project-toxic-workplace/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-02-12,19thnews.org,25
DNC largely ignores suffrage centennial,-14.0,47.33,https://19thnews.org/2020/08/dnc-largely-ignores-suffrage-centennial/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-08-19,19thnews.org,25
Biden’s first 100 days: How diverse is the administration?,-9.67,43.67,https://19thnews.org/2021/04/biden-promised-the-most-diverse-administration-ever-heres-how-hes-doing/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-04-30,19thnews.org,25
Exclusive: Study finds pregnancy-related health care coverage varies widely from state to state,-6.33,45.67,https://19thnews.org/2021/04/exclusive-study-finds-pregnancy-related-health-care-coverage-varies-widely-from-state-to-state/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-04-30,19thnews.org,25
19th Explains: Why domestic violence qualifies for asylum again,-2.67,46.67,https://19thnews.org/2021/06/the-19th-explains-why-domestic-violence-survivors-have-a-better-chance-of-getting-asylum/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-25,19thnews.org,25
Britney Spears lost her reproductive freedom. She is not alone.,-3.33,48.33,https://19thnews.org/2021/06/britney-spears-reproductive-rights/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-24,19thnews.org,25
For the People Act blocked by Senate Republicans,-7.0,45.67,https://19thnews.org/2021/06/voting-rights-for-the-people-act-vote-senate/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-22,19thnews.org,25
Explainer: Title IX change for transgender students after Bostock,-7.0,46.33,https://19thnews.org/2021/06/the-19th-explains-what-did-title-ix-changes-just-do-for-trans-students/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-23,19thnews.org,25
Fate of infrastructure deal hinges on approving Biden’s plan for working women,-4.33,46.0,https://19thnews.org/2021/06/american-families-plan-infrastructure-negotiations/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-24,19thnews.org,25
White House to review interagency protections for transgender Americans,-11.0,47.67,https://19thnews.org/2021/06/white-house-biden-transgender-policies/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-06-30,19thnews.org,25
Kagan warns Supreme Court has weakened voting protections at ‘perilous moment’,-12.0,45.67,https://19thnews.org/2021/07/kagan-dissent-brnovich-dnc-supreme-court-voting-rights/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-07-01,19thnews.org,25
Women in the Biden White House earn 99 cents for every $1 earned by men,-11.0,46.67,https://19thnews.org/2021/07/women-in-the-biden-white-house-earn-99-cents-for-every-1-earned-by-men/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-07-01,19thnews.org,25
"Two states have killed the ‘tampon tax,' but advocates want more",-9.33,46.67,https://19thnews.org/2021/07/two-states-have-killed-the-tampon-tax-but-advocates-want-more/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-07-01,19thnews.org,25
How COVID-19 has endangered gender equity worldwide,-7.0,44.33,https://19thnews.org/2021/05/how-covid-19-has-imperiled-gender-equity-worldwide/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-05-04,19thnews.org,25
Cuba's US affairs director asks if ‘humanitarian intervention’ is in order as Florida becomes Covid-19 hotspot,-27.0,20.67,https://www.rt.com/usa/529533-cuba-us-affairs-director-intervention/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-18,www.rt.com,25
‘Booster shots not needed… at this time’: Fauci says Pfizer apologized for blindsiding feds with 3rd Covid jab notice,0.0,44.33,https://www.rt.com/usa/528865-fauci-pfizer-vaccine-booster/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-10,www.rt.com,25
"Biden administration reverses Trump policy on pregnant immigrants, with new instructions never referring to them as ‘women’",1.0,42.33,https://www.rt.com/usa/528860-biden-pregnancy-border-migrants-flip/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-10,www.rt.com,25
Texas man who famously waited hours to vote in Democratic primary faces up to 40yrs in prison for illegal voting,-1.0,42.0,https://www.rt.com/usa/528946-famous-texas-voter-arrested/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-11,www.rt.com,25
"Canada's international image is a kind and gentle one. But internally, this Canada Day was a reminder of the nation’s dark history",0.0,37.0,https://www.rt.com/op-ed/528268-canada-day-dark-history/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-02,www.rt.com,25
"Man vandalizes Hunter Biden art gallery by spray-painting ‘Daddy’, assaults gallery employee, gets arrested",0.0,36.67,https://www.rt.com/usa/528937-hunter-biden-paintings-vandalized/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-11,www.rt.com,25
FBI goes ‘American Stasi’ with tweet encouraging family members to rat each other out for ‘extremism’,11.0,17.67,https://www.rt.com/usa/528936-fbi-family-extremism-stasi/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-11,www.rt.com,25
Billionaire Branson soars to edge of space in his Unity rocket plane,0.0,42.67,https://www.rt.com/usa/528912-branson-unity-test-flight/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-11,www.rt.com,25
‘Fun family day turned into nightmare’: Over 30 hospitalized after suspected chemical leak in Texas theme park,0.0,44.67,https://www.rt.com/usa/529513-texas-theme-park-chemicals/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-18,www.rt.com,25
"‘Who shot Ashli Babbitt?’ Trump asks, floating theory ‘head of security’ for top Democrat could have pulled trigger",3.67,40.0,https://www.rt.com/usa/528942-donald-trump-ashli-babbitt/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-11,www.rt.com,25
Facebook says 85% of US users are pro-vaccine as it rejects Biden’s criticism of ‘killing people’ with Covid-19 misinformation,2.0,41.33,https://www.rt.com/usa/529512-facebook-missed-vaccination-goal-blame/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-18,www.rt.com,25
‘Unacceptable’: Fox News blasts NSA after report reveals they ‘unmasked’ host Tucker Carlson in communications,12.0,27.0,https://www.rt.com/usa/530158-tucker-carlson-nsa-spying-unmasking/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-24,www.rt.com,25
"Mental 'virus' or real, governments can't just censor and imprison their way out of immunity debt",23.0,21.33,https://www.rt.com/op-ed/529447-immunity-debt-covid-censorship-reality/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-16,www.rt.com,25
State gets sued over law demanding transgender people give proof of surgery if they want to change sex on birth certificate,2.33,40.33,https://www.rt.com/usa/529509-montana-aclu-transgender-lawsuit/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-17,www.rt.com,25
Biden administration sees highest number of illegal immigrants attempt to cross US southern border for 2 decades,13.33,27.0,https://www.rt.com/usa/529502-190k-illegal-immigrants-us-border/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-17,www.rt.com,25
‘We can’t coddle violent criminals!’ DC police chief shreds media & ‘dysfunctional’ justice system after upscale district shooting,7.0,38.33,https://www.rt.com/usa/530112-dc-police-dysfunctional-courts/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-24,www.rt.com,25
"As thousands of inmates sent home over pandemic could be told to return to prison, activists urge Biden to #KeepThemHome",0.33,31.0,https://www.rt.com/usa/530165-biden-covid-inmates-keep-them-home/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-24,www.rt.com,25
Bilingual orders & no more gas: Police slapped with new RESTRICTIONS after George Floyd protest settlement in North Carolina,-1.0,39.67,https://www.rt.com/usa/530166-charlotte-police-settlement-george-floyd/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-24,www.rt.com,25
‘Reached the limits’ of voluntary system: New York Mayor de Blasio urges businesses to force vaccines on employees,5.33,43.33,https://www.rt.com/usa/530113-de-blasio-vaccinate-employees/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-24,www.rt.com,25
"Hesitancy battle lost? Vast majority of unvaccinated Americans say they WON’T be getting Covid-19 jabs, poll shows",8.0,29.33,https://www.rt.com/usa/530109-poll-unvaccinated-americans-entrenched/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-23,www.rt.com,25
‘Why do you need to have that information?’ White House REFUSES to reveal number of ‘breakthrough cases’ in Covid-infected staff,8.33,37.0,https://www.rt.com/usa/530106-white-house-covid-breakthrough-cases/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-23,www.rt.com,25
Service dogs LEFT FOR DEAD in Kabul by departing US troops – reports,2.67,10.0,https://www.rt.com/news/533571-kabul-airport-rescue-dogs-cages/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-08-31,www.rt.com,25
"White House turns the tables on ‘defund the police’ slogan, suggesting it was Republicans’ idea all along",11.0,35.67,https://www.rt.com/usa/528329-jen-psaki-defund-police-biden/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-03,www.rt.com,25
Fauci says US would still have smallpox & polio if vaccines got the same pushback then as they do now in attack on Fox,9.33,38.33,https://www.rt.com/usa/529515-fauci-smallpox-disinformation-fox/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-18,www.rt.com,25
"‘Colossal and devastating’ ransomware attack targets hundreds of US companies, cyber researchers say",1.33,37.0,https://www.rt.com/usa/528278-ransomware-attack-kaseya-hackers/,https://adfontesmedia.com/rt-bias-and-reliability/,2021-07-03,www.rt.com,25
"Facebook Plans to Flag 'Extremist' Content, Has Conservatives Fearing Censorship",6.67,36.0,https://www.newsmax.com/newsfront/facebook-censorship-conservatives-extremist/2021/07/02/id/1027338/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-02,www.newsmax.com,25
"Vatican Indicts 10 People, Including a Cardinal, in UK Deal",0.0,47.67,https://www.newsmax.com/newsfront/vatican-scandal/2021/07/03/id/1027352/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-03,www.newsmax.com,25
The Death of Faith in America,1.67,28.67,https://www.newsmax.com/michaelsavage/faith-michael-savage-america/2021/07/23/id/1029741/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-23,www.newsmax.com,25
Critical Race Theory's Chief Marketing Officer,15.33,31.33,https://www.newsmax.com/christopherrufo/critical-race-theory-crt-anti-racism-christopher-rufo/2021/07/23/id/1029723/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-23,www.newsmax.com,25
Louisiana Gov. Edwards Urges All Residents to Wear Masks,0.67,45.0,https://www.newsmax.com/politics/louisiana-covid-19-masks-delta/2021/07/24/id/1029793/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-24,www.newsmax.com,25
Trump: 'The Crime of the Century Is Being Fully Exposed',22.0,13.0,https://www.newsmax.com/politics/arizona-turning-point-usa-election-integrity-rally/2021/07/24/id/1029821/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-24,www.newsmax.com,25
"Dershowitz to Newsmax: Gun Rights, Abortion Both Constitutional Rulings",6.0,35.0,https://www.newsmax.com/newsmax-tv/dershowitz-gun-rights-abortion-supreme-court/2021/07/24/id/1029809/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-24,www.newsmax.com,25
Gallup Poll: Biden Approval Rating Dips to All-Time Low of 50 Percent,6.33,41.0,https://www.newsmax.com/politics/biden-approval-percent-gallup/2021/07/23/id/1029785/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-23,www.newsmax.com,25
National Guard Cancels Training Sessions Lacking Congressional Reimbursement,2.0,44.33,https://www.newsmax.com/politics/military-congress-budget-money/2021/07/24/id/1029819/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-24,www.newsmax.com,25
Sen. Portman on Infrastructure Debate Deadline: 'Don't Have Product Yet',3.0,43.0,https://www.newsmax.com/politics/portman-infrastructure-schumer/2021/07/18/id/1029022/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Rep. Gaetz Protesting Canceled California Rallies: 'We Will Not Be Silenced',17.33,31.33,https://www.newsmax.com/politics/mattgaetz-marjorietaylorgreene-rally-calif/2021/07/18/id/1029018/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Missouri City Using 'Trusted' Leaders To Dispel Vax Fears,0.0,44.33,https://www.newsmax.com/politics/missouri-covid-19-disinformation/2021/07/18/id/1029037/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Lindsey Graham: 'I'd Leave' To Disrupt Quorum On Dem $3.5T Reconciliation Bill,18.33,32.67,https://www.newsmax.com/politics/graham-reconciliation-senate/2021/07/18/id/1029036/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Revisiting Global Warming,22.0,20.0,https://www.newsmax.com/hansbaumann/united-nations/2021/08/13/id/1032273/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-08-13,www.newsmax.com,25
Sen. Tim Scott's Burgeoning War Chest Sparks '24 Speculation,4.33,40.67,https://www.newsmax.com/politics/timscott-2022-midterms-senate/2021/07/18/id/1029041/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Fed Has a Sunny View of Inflation While Companies See the Clouds,4.67,45.0,https://www.newsmax.com/newsfront/bon-business-cos-fin/2021/07/18/id/1029042/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
G-20 Finance Ministers Back Deterring Use of Tax Havens,1.33,43.0,https://www.newsmax.com/newsfront/italy-g20-finance-ministers/2021/07/10/id/1028154/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
We Need Help': Haiti's Interim Leader Requests US Troops,0.0,43.33,https://www.newsmax.com/newsfront/haiti-president-killed/2021/07/10/id/1028149/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
31 Republicans Request IG Probe of COVID Unemployment Fraud,7.67,23.67,https://www.newsmax.com/newsfront/covid-19-unemployment-fraud-republican/2021/07/10/id/1028153/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
Trump Calls on Senate GOP To Stop Negotiations on Infrastructure,9.33,39.67,https://www.newsmax.com/politics/trump-republicans-infrastructure-bipartisan/2021/07/10/id/1028140/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
"Teachers, Activists Prepare to Battle Conservatives in Court on 'Institutional Racism'",6.0,40.33,https://www.newsmax.com/us/education-racism-critical-race-theory-activists/2021/07/10/id/1028161/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
Growing Number of Dems Fear Party Has Become Too Woke,8.33,37.33,https://www.newsmax.com/politics/democrats-woke-messaging-elections/2021/07/10/id/1028158/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
Biden's Antitrust Legislation Starts Battle With BigTech,7.67,43.0,https://www.newsmax.com/politics/whitehouse-joebiden-bigtech-antitrust/2021/07/10/id/1028168/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-10,www.newsmax.com,25
Democrats Blame GOP for Democrat-Invented Defund-the-Police Efforts,16.33,26.33,https://www.newsmax.com/murdock/democrats-defund-police/2021/07/02/id/1027291/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-02,www.newsmax.com,25
Sen. Cruz: Flagging COVID Misinformation by Biden Admin For FB Removal Is 'Collusion',17.33,28.33,https://www.newsmax.com/politics/cruz-misinformation-facebook-first-amendment/2021/07/18/id/1029031/,https://adfontesmedia.com/newsmax-bias-and-reliability/,2021-07-18,www.newsmax.com,25
Comic-Con returns to New York City for hybrid event,0.0,45.0,https://www.newsnationnow.com/us-news/northeast/comic-con-returns-to-new-york-city-for-hybrid-event/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25
"Dr. Anthony Fauci responds to criticism of Wuhan lab funding, release of thousands of his emails",3.67,44.0,https://www.newsnationnow.com/the-donlon-report/dr-anthony-fauci-responds-to-criticism-of-wuhan-lab-funding-release-of-thousands-of-his-emails/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-06-02,www.newsnationnow.com,25
Workers start looking for alternative jobs as Biden administration moves to clean energy,0.33,39.0,https://www.newsnationnow.com/politics/biden-100days/workers-start-looking-for-alternative-jobs-as-biden-administration-moves-to-clean-energy/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25
Beto O’Rourke considering run for Texas governor,-2.33,40.33,https://www.newsnationnow.com/us-news/southwest/beto-orourke-considering-run-for-texas-governor/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25
Capitol Police bolstering travel security for lawmakers,-4.33,44.33,https://www.newsnationnow.com/politics/capitol-police-bolstering-travel-security-for-lawmakers/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25
"‘Nobody gave up on me’: Son, officer save man’s life after his heart stopped beating",0.0,45.33,https://www.newsnationnow.com/heroes/son-police-officer-save-local-mans-life-after-his-heart-stopped-beating/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25
"Fauci warns virus variants are ‘a wake-up call’, scientists must be ready to tweak vaccines",0.0,43.67,https://www.newsnationnow.com/health/coronavirus/bidens-covid-19-response-team-to-brief-public-after-south-africa-variant-detected/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25
Limited indoor dining in NYC restaurants to make return on Valentine’s Day,0.0,47.33,https://www.newsnationnow.com/us-news/northeast/limited-indoor-dining-in-nyc-restaurants-to-make-return-on-valentines-day/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25
"Trading white collars for red ballcaps: Execs work as Raising Cane’s cooks, cashiers",0.0,46.0,https://www.newsnationnow.com/business/raising-canes-labor-shortage/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25
"Tulsa city leaders offering $10,000 to people willing to relocate",0.0,46.67,https://www.newsnationnow.com/us-news/southeast/tulsa-city-leaders-offering-10000-to-people-willing-to-relocate/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25
Supply crisis drives Walmart and rivals to hire their own ships,0.0,45.67,https://www.newsnationnow.com/business/supply-crisis-drives-walmart-and-rivals-to-hire-their-own-ships/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25
Zodiac Killer: Police refute investigators’ claims they found the serial murderer,0.0,41.67,https://www.newsnationnow.com/us-news/zodiac-killer-police-refute-investigators-claims-they-found-the-serial-murderer/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25
When can my kid get vaccinated? Here’s what we know,-1.0,47.33,https://www.newsnationnow.com/us-news/when-can-my-kid-get-vaccinated-heres-what-we-know/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25
Laundrie family changes story on when they last saw Brian,0.0,39.33,https://www.newsnationnow.com/us-news/gabby-petito-missing-case/gabby-petito-case-attorney-explains-why-brian-laundrie-left-in-middle-of-road-trip/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-05,www.newsnationnow.com,25
Brian Laundrie's sister clarifies timeline,0.0,35.0,https://www.newsnationnow.com/us-news/gabby-petito-missing-case/newsnation-exclusive-brian-laundries-sister-says-her-brother-flew-home-aug-17-saw-family-sept-1/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-04,www.newsnationnow.com,25
Missing in America: Lauren Cho ‘walked away’ from her California Airbnb,0.0,40.33,https://www.newsnationnow.com/missing/lauren-cho-missing-in-america/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25
Wiretaps of alleged ringleader in college admissions scandal played in court,0.0,40.67,https://www.newsnationnow.com/sports/wiretaps-of-alleged-ringleader-in-college-admissions-scandal-played-in-court/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25
"‘Why are you attacking me?’: Transgender girl, 8, asks Texas lawmakers to oppose sports ban bill",-3.0,45.67,https://www.newsnationnow.com/us-news/southwest/why-are-you-attacking-me-transgender-girl-8-asks-texas-lawmakers-to-oppose-sports-ban-bill/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25
2 dead in shooting at senior living facility in Maryland,0.0,48.67,https://www.newsnationnow.com/us-news/northeast/2-dead-in-shooting-at-senior-living-facility-in-maryland/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25
"Neighbor blasting ‘horribly offensive’ sounds from home has stopped, Virginia police say",-1.67,48.33,https://www.newsnationnow.com/us-news/southeast/neighbor-blasting-horribly-offensive-sounds-from-home-has-stopped-virginia-police-say/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25
City in Michigan urged to use bottled water due to lead risk,0.0,47.33,https://www.newsnationnow.com/health/city-in-michigan-urged-to-use-bottled-water-due-to-lead-risk/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25
Trump to leave Washington on morning of Biden’s inauguration,-1.0,45.67,https://www.newsnationnow.com/politics/transition/trump-to-leave-washington-on-morning-of-bidens-inauguration/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-15,www.newsnationnow.com,25
News Across America: Death row inmate sues Tampa police after wrongful conviction and a kidney transplant halted by COVID vaccine,0.0,45.0,https://www.newsnationnow.com/morninginamerica/news-across-america-death-row-inmate-sues-tampa-police-after-wrongful-conviction-and-kidney-transplant-halted-by-covid-vaccine/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25
Dr. Fauci says concert venues could see crowds return by this fall,1.0,45.33,https://www.newsnationnow.com/health/coronavirus/dr-fauci-says-concert-venues-could-see-crowds-return-by-this-fall/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-15,www.newsnationnow.com,25
More states observing Indigenous Peoples' Day,-2.33,48.67,https://www.newsnationnow.com/us-news/more-states-observing-indigenous-peoples-day-along-with-or-replacing-columbus-day/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25
Jim Clyburn Urges Filibuster 'Carveout' for Laws Protecting Constitutional Rights Like Voting,-4.67,42.0,https://www.newsweek.com/jim-clyburn-urges-filibuster-carveout-laws-protecting-constitutional-rights-like-voting-1608558,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-10,www.newsweek.com,25
Video Shows Red Dye Exploding From Bank Robber's Bag as He Strolls Then Runs on Street,0.0,45.0,https://www.newsweek.com/video-shows-red-dye-pack-exploding-bank-robbers-backpack-he-strolls-then-runs-1606689,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-03,www.newsweek.com,25
Woman Afraid of Vaccine Side Effects Dies From Delta Variant: 'I Couldn't Convince Her',-3.67,43.0,https://www.newsweek.com/woman-afraid-vaccine-side-effects-dies-delta-variant-i-couldnt-convince-her-1606660,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-03,www.newsweek.com,25
"'Absolutely No Doubt' Donald Trump Is Running for President Again, Says Steve Bannon",-3.67,43.0,https://www.newsweek.com/absolutely-no-doubt-donald-trump-running-president-again-says-steve-bannon-1606640,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-03,www.newsweek.com,25
Progressive Lawmakers Call Fourth of July Freedom for Whites: Blacks 'Still Aren't Free',-3.6,42.6,https://www.newsweek.com/progressive-lawmakers-call-fourth-july-freedom-whites-blacks-still-arent-free-1606759,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-04,www.newsweek.com,25
Gretchen Whitmer Says Kamala Harris Is Unfairly Treated Because of Race and Gender,-7.0,34.67,https://www.newsweek.com/gretchen-whitmer-says-kamala-harris-unfairly-treated-because-race-gender-1607748,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-08,www.newsweek.com,25
Charlottesville Mayor Calls Robert E. Lee Statue Removal a 'Step Closer' to Helping America,-3.67,42.67,https://www.newsweek.com/charlottesville-mayor-hails-removal-robert-e-lee-statue-that-ignited-white-supremacist-rally-1608554,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-10,www.newsweek.com,25
GOP Senator Bill Hagerty Says 'China's Laughing All the Way to the Bank',1.33,41.0,https://www.newsweek.com/gop-senator-bill-hagerty-says-chinas-laughing-all-way-bank-1608570,https://adfontesmedia.com/newsweek-bias-and-reliability/,2021-07-10,www.newsweek.com,25
